Rank, Name, Company, Worth
242, David Green, None, 6800.0
242, Hank & Doug Meijer, None, 6800.0
242, Dmitry Rybolovlev, None, 6800.0
242, Tsai Eng-Meng, None, 6800.0
242, Andreas von Bechtolsheim, None, 6800.0
248, Oleg Deripaska, None, 6700.0
248, Liu Yongxing, None, 6700.0
248, Ludwig Merckle, None, 6700.0
251, Brian Acton, None, 6600.0
251, John Grayken, None, 6600.0
251, Ann Walton Kroenke, None, 6600.0
251, Augusto & Giorgio Perfetti, None, 6600.0
251, Finn Rausing, None, 6600.0
251, Kirsten Rausing, None, 6600.0
251, Odd Reitan, None, 6600.0
251, Nassef Sawiris, None, 6600.0
251, Wee Cho Yaw, None, 6600.0
251, Aloys Wobben, None, 6600.0
261, Leon Black, None, 6500.0
261, Ivan Glasenberg, None, 6500.0
261, John Paulson, None, 6500.0
261, Wei Jianjun, None, 6500.0
265, Francis Choi, None, 6400.0
265, Erivan Haub, None, 6400.0
265, Jason Jiang, None, 6400.0
265, Suleiman Kerimov, None, 6400.0
265, Ian & Richard Livingstone, None, 6400.0
265, Pang Kang, None, 6400.0
265, David Shaw, None, 6400.0
265, Kushal Pal Singh, None, 6400.0
265, John A. Sobrato, None, 6400.0
274, Acharya Balkrishna, None, 6300.0
274, Guenther Fielmann, None, 6300.0
274, Daniel Gilbert, None, 6300.0
274, Antonia Johnson, None, 6300.0
274, Vikram Lal, None, 6300.0
274, Akira Mori, None, 6300.0
274, Maria-Elisabeth Schaeffler-Thumann, None, 6300.0
281, Albert Frere, None, 6200.0
281, Richard Kinder, None, 6200.0
281, Robert Kraft, None, 6200.0
281, Ralph Lauren, None, 6200.0
281, Bruno Schroder, None, 6200.0
281, Nusli Wadia, None, 6200.0
287, Pierre Bellon, None, 6100.0
287, Les Wexner, None, 6100.0
289, Benu Gopal Bangur, None, 6000.0
289, David Cheriton, None, 6000.0
289, Ma Jianrong, None, 6000.0
289, Whitney MacMillan, None, 6000.0
289, Dan Olsson, None, 6000.0
289, Vivek Chaand Sehgal, None, 6000.0
289, Teh Hong Piow, None, 6000.0
296, Abdulla bin Ahmad Al Ghurair, None, 5900.0
296, Maria Asuncion Aramburuzabala, None, 5900.0
296, Ralph Dommermuth, None, 5900.0
296, Frank Lowy, None, 5900.0
296, Wolfgang Marguerre, None, 5900.0
296, Marijke Mars, None, 5900.0
296, Pamela Mars, None, 5900.0
296, Valerie Mars, None, 5900.0
296, Victoria Mars, None, 5900.0
305, David & Frederick Barclay, None, 5800.0
305, John Gokongwei, Jr., None, 5800.0
305, Kwon Hyuk-Bin, None, 5800.0
