Rank, Name, Worth, Source
217, Wang Wenxue, 7200.0, real estate
222, John Doerr, 7100.0, venture capital
222, Patrick Drahi, 7100.0, telecom
222, Eva Gonda de Rivera, 7100.0, beverages
222, Willi & Isolde Liebherr, 7100.0, Construction
222, Ricardo Salinas Pliego, 7100.0, retail, media
222, Suh Kyung-Bae, 7100.0, cosmetics
228, Pollyanna Chu, 7000.0, financial services
228, John Fredriksen, 7000.0, shipping
228, Goh Cheng Liang, 7000.0, paints
228, Sri Prakash Lohia, 7000.0, polyester
228, Lu Zhiqiang, 7000.0, real estate
228, Jorn Rausing, 7000.0, packaging
228, Johann Rupert, 7000.0, luxury goods
228, Jacques Saade, 7000.0, shipping
228, Wu Shaoxun, 7000.0, wine
237, Leonid Fedun, 6900.0, oil
237, Kim Jung-Ju, 6900.0, online games
237, Sandra Ortega Mera, 6900.0, Zara
237, Jim Pattison, 6900.0, diversified
237, Michael Platt, 6900.0, hedge funds
242, Chan Laiwa, 6800.0, real estate
242, David Green, 6800.0, retail
242, Hank & Doug Meijer, 6800.0, supermarkets
242, Dmitry Rybolovlev, 6800.0, fertilizer
242, Tsai Eng-Meng, 6800.0, food, beverages
242, Andreas von Bechtolsheim, 6800.0, Google
248, Oleg Deripaska, 6700.0, aluminum, utilities
248, Liu Yongxing, 6700.0, diversified
248, Ludwig Merckle, 6700.0, pharmaceuticals
251, Brian Acton, 6600.0, WhatsApp
251, John Grayken, 6600.0, private equity
251, Ann Walton Kroenke, 6600.0, Walmart
251, Augusto & Giorgio Perfetti, 6600.0, candy
251, Finn Rausing, 6600.0, packaging
251, Kirsten Rausing, 6600.0, packaging
251, Odd Reitan, 6600.0, retail, real estate
251, Nassef Sawiris, 6600.0, construction, chemicals
251, Wee Cho Yaw, 6600.0, banking
251, Aloys Wobben, 6600.0, wind turbines
261, Leon Black, 6500.0, private equity
261, Ivan Glasenberg, 6500.0, mining
261, John Paulson, 6500.0, hedge funds
261, Wei Jianjun, 6500.0, automobiles
265, Francis Choi, 6400.0, real estate
265, Erivan Haub, 6400.0, retail
265, Jason Jiang, 6400.0, advertising
265, Suleiman Kerimov, 6400.0, investments
265, Ian & Richard Livingstone, 6400.0, real estate
265, Pang Kang, 6400.0, soy sauce maker
265, David Shaw, 6400.0, hedge funds
265, Kushal Pal Singh, 6400.0, real estate
265, John A. Sobrato, 6400.0, real estate
274, Acharya Balkrishna, 6300.0, consumer goods
274, Guenther Fielmann, 6300.0, optometry
274, Daniel Gilbert, 6300.0, Quicken Loans
274, Antonia Johnson, 6300.0, diversified
274, Vikram Lal, 6300.0, motorcycles
274, Akira Mori, 6300.0, real estate
274, Maria-Elisabeth Schaeffler-Thumann, 6300.0, auto parts
281, Albert Frere, 6200.0, investments
281, Richard Kinder, 6200.0, pipelines
281, Robert Kraft, 6200.0, New England Patriots
281, Ralph Lauren, 6200.0, Ralph Lauren
281, Bruno Schroder, 6200.0, banking
281, Nusli Wadia, 6200.0, consumer goods
287, Pierre Bellon, 6100.0, food services
287, Les Wexner, 6100.0, retail
289, Benu Gopal Bangur, 6000.0, cement
289, David Cheriton, 6000.0, Google
289, Ma Jianrong, 6000.0, textiles, apparel
289, Whitney MacMillan, 6000.0, Cargill
289, Dan Olsson, 6000.0, diversified
289, Vivek Chaand Sehgal, 6000.0, auto parts
289, Teh Hong Piow, 6000.0, banking
296, Abdulla bin Ahmad Al Ghurair, 5900.0, diversified
296, Maria Asuncion Aramburuzabala, 5900.0, beer, investments
296, Ralph Dommermuth, 5900.0, internet service provider
296, Frank Lowy, 5900.0, shopping malls
296, Wolfgang Marguerre, 5900.0, pharmaceuticals
296, Marijke Mars, 5900.0, candy, pet food
296, Pamela Mars, 5900.0, candy, pet food
296, Valerie Mars, 5900.0, candy, pet food
296, Victoria Mars, 5900.0, candy, pet food
305, David & Frederick Barclay, 5800.0, media, retail
305, John Gokongwei, Jr., 5800.0, food and beverage
305, Kwon Hyuk-Bin, 5800.0, online games
305, Nancy Walton Laurie, 5800.0, Walmart
305, Lin Yu-Ling, 5800.0, real estate
305, Tom & Judy Love, 5800.0, retail & gas stations
305, Robert Rowling, 5800.0, investments
305, Dennis Washington, 5800.0, construction, mining
305, Yao Liangsong, 5800.0, furniture
305, Zhang Jindong, 5800.0, appliance retailer
315, Juan Francisco Beckmann Vidal, 5700.0, tequila
315, David Sun, 5700.0, computer hardware
315, John Tu, 5700.0, computer hardware
315, Martin Viessmann, 5700.0, heating equipment
315, Stef Wertheimer, 5700.0, metalworking tools
315, Hansjoerg Wyss, 5700.0, medical devices
321, James Dyson, 5600.0, vacuums
321, Laurence Graff, 5600.0, diamond jewelry
321, Jen-Hsun Huang, 5600.0, semiconductors
321, Charles Johnson, 5600.0, money management
321, Jerry Jones, 5600.0, Dallas Cowboys
321, Kei Hoi Pang, 5600.0, real estate
321, Kwee family, 5600.0, Real Estate
321, Lee Shin Cheng, 5600.0, palm oil, property
321, Richard LeFrak, 5600.0, real estate
321, Shigenobu Nagamori, 5600.0, motors
321, Steven Rales, 5600.0, manufacturing
321, Friede Springer, 5600.0, publishing
321, Yeung Kin-man, 5600.0, electronics
334, Rinat Akhmetov, 5500.0, steel, coal
334, Shari Arison, 5500.0, Carnival Cruises
334, Dannine Avara, 5500.0, pipelines
334, Rahel Blocher, 5500.0, chemicals
